,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,income_to_debt,late_payment_flag,"age_group_(30, 40]","age_group_(40, 50]","age_group_(50, 60]","age_group_(60, 100]",SeriousDlqin2yrs,default_probability,risk_score
84949,0.049011809,49,0,1.015912481,4021.0,16,0,2,0,2.0,1994.6302420853954,0,False,True,False,False,0,0.03,3.0
52888,0.064647345,65,0,0.393034826,200.0,4,0,0,0,0.0,143.57142855809693,0,False,False,False,True,0,0.01,1.0
13858,0.110994158,85,0,0.026076159,2415.0,1,0,0,0,0.0,2353.626462146461,0,False,False,False,True,0,0.0,0.0
136206,0.151233951,63,1,0.064693197,5100.0,7,0,0,0,1.0,4790.112320028284,1,False,False,False,True,0,0.01,1.0
22934,0.246042779,70,0,0.318729785,3400.0,7,0,0,0,0.0,2578.2385737196346,0,False,False,False,True,0,0.02,2.0
133890,0.740293974,28,0,0.681751179,6783.0,9,0,1,0,0.0,4033.2958196784475,0,False,False,False,False,0,0.26,26.0
56197,0.741131411,53,1,5.0,5400.0,21,0,2,0,1.0,900.0,1,False,False,True,False,0,0.29,29.0
130664,0.024162279,75,0,0.006293965,2700.0,10,0,0,0,0.0,2683.11258330959,0,False,False,False,True,0,0.0,0.0
87518,4.23e-05,51,0,0.06587473,8333.0,7,0,0,0,1.0,7817.991894788612,0,False,False,True,False,0,0.05,5.0
16602,0.979486886,59,0,1.168943685,3000.0,9,0,2,0,1.0,1383.1617762818955,0,False,False,True,False,1,0.22,22.0
105028,0.9999999,35,0,0.075274961,7000.0,1,2,0,1,3.0,6509.962803830228,0,True,False,False,False,1,0.49,49.0
13216,0.200448239,57,1,0.289618397,6000.0,15,0,2,0,0.0,4652.539087498765,1,False,False,True,False,0,0.03,3.0
38882,0.9999999,22,0,0.011976048,500.0,0,0,0,0,0.0,494.08284018990935,0,False,False,False,False,0,0.03,3.0
73883,0.002943509,60,0,0.000821018,7307.0,7,0,0,0,2.0,7301.005742867003,0,False,False,True,False,0,0.01,1.0
17653,0.417553954,62,0,0.466055446,4580.0,11,0,1,0,1.0,3124.029184909832,0,False,False,False,True,0,0.03,3.0
142821,0.9999999,28,0,0.264532173,3216.0,5,0,0,0,0.0,2543.23303800986,0,False,False,False,False,0,0.05,5.0
84864,0.033024119,54,0,5.0,5400.0,8,0,1,0,0.0,900.0,0,False,False,True,False,0,0.0,0.0
117263,0.9999999,79,0,0.0,5400.0,0,0,0,0,0.0,5400.0,0,False,False,False,True,0,0.0,0.0
34410,0.229448971,60,0,0.357169322,8096.0,15,0,1,0,1.0,5965.35735723033,0,False,False,True,False,0,0.03,3.0
117836,0.11045178,63,0,0.311815713,11416.0,20,0,1,1,1.0,8702.44188026432,0,False,False,False,True,0,0.04,4.0
7416,0.001749913,85,0,1.0,5400.0,4,0,0,0,0.0,2700.0,0,False,False,False,True,0,0.0,0.0
17709,0.192080876,34,0,0.402780387,5322.0,8,0,1,0,4.0,3793.8939333060407,0,True,False,False,False,0,0.08,8.0
136252,0.0,58,0,0.151310457,3700.0,6,0,1,0,0.0,3213.7291705324965,0,False,False,True,False,0,0.03,3.0
26210,0.661195142,59,0,0.709907014,8710.0,20,0,5,0,0.0,5093.84424339229,0,False,False,True,False,0,0.21,21.0
39344,0.138601336,46,0,0.641245358,3500.0,23,0,2,0,0.0,2132.526975896556,0,False,True,False,False,0,0.05,5.0
116699,0.10603311,60,0,0.139124058,15000.0,7,0,1,0,0.0,13168.012645028344,0,False,False,True,False,0,0.0,0.0
95047,0.840257721,33,1,0.561643836,2700.0,8,0,0,0,0.0,1728.947367996399,1,True,False,False,False,0,0.14,14.0
111109,0.0,43,0,0.0,2300.0,8,0,0,0,1.0,2300.0,0,False,True,False,False,0,0.03,3.0
51156,0.429343707,73,0,0.335827216,7083.0,23,0,0,0,0.0,5302.332453750516,0,False,False,False,True,0,0.05,5.0
129330,0.0,50,0,0.0,1200.0,4,0,0,0,0.0,1200.0,0,False,True,False,False,0,0.01,1.0
67233,0.9999999,56,0,5.0,5400.0,5,0,0,1,0.0,900.0,0,False,False,True,False,0,0.33299999999999996,33.0
115061,0.000212721,57,0,0.165278241,3000.0,4,0,0,0,2.0,2574.4924211624407,0,False,False,True,False,0,0.01,1.0
17169,0.008246998,52,0,0.363145096,3700.0,3,0,1,0,2.0,2714.311199047882,0,False,False,True,False,0,0.01,1.0
125744,0.068769134,67,0,0.291585421,6666.0,13,0,2,0,3.0,5161.098825998594,0,False,False,False,True,0,0.05,5.0
46672,0.484589112,37,0,0.373803742,7000.0,10,0,1,0,2.0,5095.342068154012,0,True,False,False,False,0,0.04,4.0
149917,0.01585557,64,0,0.112411607,4100.0,10,0,1,0,0.0,3685.6861023385563,0,False,False,False,True,0,0.0,0.0
102438,0.0,25,1,0.05891636,1900.0,2,0,0,0,0.0,1794.28713331051,1,False,False,False,False,0,0.1,10.0
4890,0.0,60,3,0.292697378,6750.0,5,1,1,2,0.0,5221.639739413164,1,False,False,True,False,1,0.42,42.0
146810,0.012461753,54,0,0.222196691,4351.0,11,0,1,0,0.0,3559.9834560507743,0,False,False,True,False,0,0.06,6.0
10140,0.132091359,36,0,0.461418307,3200.0,8,0,2,0,1.0,2189.6536978306785,0,True,False,False,False,0,0.0,0.0
111237,0.07087744,58,0,0.275158248,7740.0,18,0,1,0,0.0,6069.834871193179,0,False,False,True,False,0,0.0,0.0
117338,0.960691923,42,0,1.241580483,3770.0,29,1,2,1,3.0,1681.8490473982238,0,False,True,False,False,1,0.43,43.0
88468,0.02966865,53,0,0.305562676,3900.0,15,0,1,1,0.0,2987.2177503946964,0,False,False,True,False,0,0.12,12.0
116627,0.9999999,34,0,1.810841984,2600.0,7,0,2,0,0.0,924.989741436849,0,True,False,False,False,0,0.06,6.0
113105,0.053967137,68,1,0.74690124,2500.0,9,0,1,0,0.0,1431.1055157302424,1,False,False,False,True,0,0.13,13.0
57838,0.9999999,47,0,0.757432255,3800.0,2,1,0,3,2.0,2162.2455085758056,0,False,True,False,False,0,0.5725,57.0
42457,0.034868996,81,0,0.017391304,4484.0,6,0,0,0,0.0,4407.350428857214,0,False,False,False,True,0,0.0,0.0
57004,0.294756011,59,0,0.563535912,4886.0,20,0,3,0,3.0,3124.968197084814,0,False,False,True,False,0,0.05,5.0
27964,0.76147208,46,0,0.494569902,5800.0,7,0,1,0,2.0,3880.7151089009417,0,False,True,False,False,1,0.04,4.0
141961,0.009004321,46,0,0.017327557,3000.0,7,0,0,0,0.0,2948.9027200312044,0,False,True,False,False,0,0.0,0.0
29909,0.528879393,59,0,0.639218915,8500.0,19,0,1,0,0.0,5185.3964850082275,0,False,False,True,False,0,0.05,5.0
125077,0.408433359,42,0,0.468075437,4400.0,7,0,1,0,1.0,2997.1211894883027,0,False,True,False,False,0,0.08,8.0
51212,0.019811546,56,0,0.067488752,6000.0,19,0,1,0,0.0,5620.668122974283,0,False,False,True,False,0,0.0,0.0
109728,0.0,56,1,0.500549945,10000.0,8,0,2,0,2.0,6664.22336245529,1,False,False,True,False,0,0.01,1.0
63780,0.018324672,46,0,5.0,5400.0,7,0,0,0,0.0,900.0,0,False,True,False,False,0,0.0,0.0
8341,0.982120773,51,0,0.328345802,9623.0,9,0,2,0,1.0,7244.348561580352,0,False,False,True,False,0,0.01,1.0
134180,0.008867272,58,0,0.256641604,5984.0,10,0,1,0,1.0,4761.898683723669,0,False,False,True,False,0,0.0,0.0
140418,0.723202695,30,0,5.0,200.0,9,0,2,0,0.0,33.333333333333336,0,False,False,False,False,0,0.25,25.0
95546,0.065258947,53,0,0.172982774,5514.0,13,0,1,0,0.0,4700.836297191863,0,False,False,True,False,0,0.01,1.0
119332,0.046441004,41,0,0.447881961,2100.0,3,0,1,0,0.0,1450.3944772884702,0,False,True,False,False,0,0.01,1.0
18607,0.0,53,0,0.37652226,5008.0,12,0,2,0,2.0,3638.1540244761463,0,False,False,True,False,0,0.06,6.0
148773,0.81821487,66,0,0.098320813,4525.0,12,0,0,0,0.0,4119.925568596141,0,False,False,False,True,0,0.12,12.0
31587,0.428398505,45,0,0.339366516,3756.0,8,0,1,0,0.0,2804.310810469746,0,False,True,False,False,0,0.05,5.0
49187,0.0,33,0,5.0,5400.0,6,0,1,0,0.0,900.0,0,True,False,False,False,0,0.0,0.0
24257,0.851893513,31,0,0.155576382,3200.0,2,0,0,0,0.0,2769.1808606036393,0,True,False,False,False,0,0.09,9.0
82972,0.227737854,53,0,1.372434018,3750.0,12,0,2,0,0.0,1580.6551295202344,0,False,False,True,False,0,0.11,11.0
140113,0.034390557,65,0,0.225815144,3710.0,10,0,0,0,1.0,3026.5574855714135,0,False,False,False,True,0,0.0,0.0
41591,0.132956425,48,0,0.630987182,4446.0,7,0,1,0,2.0,2725.9564324399453,0,False,True,False,False,0,0.04,4.0
25245,0.9999999,67,0,0.384271513,17000.0,9,0,3,0,0.0,12280.82774249794,0,False,False,False,True,0,0.05,5.0
8395,0.030848458,61,0,5.0,5400.0,9,0,1,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
29318,0.35698725,67,0,0.10936357,2733.0,2,0,0,0,0.0,2463.5746782274455,0,False,False,False,True,0,0.02,2.0
7703,0.103955339,59,0,0.241543734,6710.0,17,0,2,0,1.0,5404.561930639167,0,False,False,True,False,0,0.01,1.0
69357,0.879864636,61,0,5.0,5400.0,6,0,0,0,0.0,900.0,0,False,False,False,True,0,0.205,20.0
19078,0.0,59,0,0.033996762,10500.0,9,0,0,0,0.0,10154.770678092318,0,False,False,True,False,0,0.03,3.0
55708,0.653869226,62,0,0.389566613,6229.0,6,0,1,0,3.0,4482.692619213067,0,False,False,False,True,0,0.0,0.0
147421,0.042296246,42,0,0.268591772,7583.0,13,0,2,0,3.0,5977.494232084615,0,False,True,False,False,0,0.0,0.0
104158,0.005216938,74,0,1.0,0.0,4,0,0,0,0.0,0.0,0,False,False,False,True,0,0.0,0.0
108568,0.397824817,55,0,0.116446579,9995.0,6,0,1,0,1.0,8952.51074973288,0,False,False,True,False,0,0.01,1.0
8959,0.139435375,66,0,5.0,5400.0,6,0,1,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
73453,0.0,41,2,0.287486179,20800.0,12,0,1,1,5.0,16155.513231338538,1,False,True,False,False,0,0.23,23.0
126235,0.221007496,61,0,0.618258353,3800.0,10,0,2,0,0.0,2348.203544233459,0,False,False,False,True,1,0.01,1.0
36737,0.030723037,37,0,0.513137558,5175.0,10,0,2,0,0.0,3420.045965179856,0,True,False,False,False,0,0.01,1.0
19707,0.523856126,39,0,0.340653662,7740.0,13,0,1,0,1.0,5773.3031426277485,0,True,False,False,False,0,0.08,8.0
89105,0.0,51,0,0.355552363,6960.0,7,0,1,0,0.0,5134.438321952156,0,False,False,True,False,0,0.04,4.0
67265,0.016361242,57,0,0.220898258,12000.0,24,0,1,0,2.0,9828.828832680667,0,False,False,True,False,0,0.0,0.0
24643,0.014174482,74,0,0.037446286,3257.0,9,0,0,0,1.0,3139.439645167326,0,False,False,False,True,0,0.02,2.0
20182,0.012472375,82,0,5.0,5400.0,9,0,0,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
127041,0.317984571,64,0,0.251974347,18866.0,12,0,2,0,0.0,15068.998853855908,0,False,False,False,True,0,0.0,0.0
69079,0.041004229,29,1,0.316184191,6666.0,12,0,1,0,0.0,5064.640682954381,1,False,False,False,False,0,0.09,9.0
31813,0.010522704,86,0,0.196695096,1875.0,10,0,1,0,0.0,1566.8151446991474,0,False,False,False,True,0,0.0,0.0
30990,0.195046916,33,0,0.398522382,2300.0,10,0,1,0,1.0,1644.5929143520852,0,True,False,False,False,0,0.08,8.0
143576,0.033715834,66,0,0.382860867,3068.0,8,0,1,0,0.0,2218.589066487771,0,False,False,False,True,0,0.01,1.0
133634,0.002205726,64,0,0.160641711,14024.0,17,0,1,0,0.0,12082.970883337484,0,False,False,False,True,0,0.04,4.0
260,0.034645112,65,0,0.125189985,12500.0,4,0,1,0,1.0,11109.235032873137,0,False,False,False,True,0,0.0,0.0
61985,0.944375952,41,5,0.285031155,6900.0,10,2,0,0,3.0,5369.519620713009,1,False,True,False,False,1,0.66,66.0
54329,1.262719106,65,0,0.464468288,17800.0,20,0,3,0,1.0,12154.58207313534,0,False,False,False,True,0,0.16,16.0
136098,0.077792264,27,1,0.206042956,2746.0,3,3,0,2,0.0,2276.8674916086484,1,False,False,False,False,0,0.6,60.0
58030,0.212264597,32,0,0.087685915,25750.0,10,0,1,0,3.0,23674.113680142673,0,True,False,False,False,0,0.03,3.0
116581,0.867949444,62,1,0.456806283,4583.0,15,0,1,0,3.0,3145.9227307574706,1,False,False,False,True,1,0.18,18.0
65757,0.319600499,61,0,0.00137228,5100.0,4,0,0,0,1.0,5093.01096291581,0,False,False,False,True,0,0.02,2.0
83357,0.160904619,65,0,0.004999929,70000.0,4,0,0,0,1.0,69651.74621420297,0,False,False,False,True,0,0.03,3.0
18539,0.280571731,52,0,0.089955022,2000.0,7,0,0,0,0.0,1834.93810261099,0,False,False,True,False,0,0.07,7.0
39223,0.469248033,42,1,0.168598939,5088.0,9,0,0,0,0.0,4353.931729866135,1,False,True,False,False,0,0.04,4.0
62549,0.046224118,52,0,0.139815533,11600.0,11,0,2,0,0.0,10177.085382815187,0,False,False,True,False,0,0.0,0.0
149343,0.016842105,58,0,0.096195977,5020.0,9,0,0,0,0.0,4579.473110034958,0,False,False,True,False,0,0.0,0.0
51817,0.785020281,29,2,0.323823458,4100.0,7,2,0,0,0.0,3097.0897027268115,1,False,False,False,False,0,0.65,65.0
115986,0.0,35,0,0.33406406,8210.0,7,0,1,0,1.0,6154.127261325067,0,True,False,False,False,0,0.01,1.0
41258,0.0,26,0,0.378197998,898.0,2,0,0,0,0.0,651.5754639777092,0,False,False,False,False,0,0.01,1.0
110039,0.880013332,62,0,0.138469039,2050.0,8,0,0,0,0.0,1800.663812342814,0,False,False,False,True,0,0.13,13.0
115289,0.632247596,68,0,0.143485651,10000.0,9,0,0,0,1.0,8745.19062941875,0,False,False,False,True,0,0.0,0.0
120498,0.012465836,56,0,0.000749513,6670.0,3,0,0,0,0.0,6665.004492487822,0,False,False,True,False,0,0.0,0.0
99638,0.822798178,54,0,0.943071369,3600.0,20,3,2,1,1.0,1852.736887298554,0,False,False,True,False,0,0.58,58.0
5954,0.237594957,55,0,0.151469252,3300.0,7,0,0,0,0.0,2865.9037089077215,0,False,False,True,False,0,0.01,1.0
148287,0.968561258,49,0,0.133397313,8335.0,4,0,0,1,1.0,7353.996612130667,0,False,True,False,False,0,0.27,27.0
10395,0.930027989,29,0,0.333833083,2000.0,4,0,0,0,0.0,1499.4379922723808,0,False,False,False,False,0,0.06,6.0
107131,0.02623575,63,0,0.007635253,4583.0,7,0,0,0,0.0,4548.272786561588,0,False,False,False,True,0,0.0,0.0
99482,0.99222395,50,1,0.149300156,4500.0,4,1,0,0,1.0,3915.426250059606,1,False,True,False,False,0,0.33,33.0
131102,0.04621108,51,0,0.114222144,40000.0,11,0,2,0,2.0,35899.48397220151,0,False,False,True,False,0,0.0,0.0
42166,0.099401004,58,0,5.0,5400.0,14,0,1,0,9.0,900.0,0,False,False,True,False,0,0.02,2.0
104939,0.102286833,52,1,0.352252166,10500.0,13,0,1,0,0.0,7764.823946305293,1,False,False,True,False,0,0.07,7.0
48837,0.861055556,51,1,0.352599179,5847.0,16,0,0,0,0.0,4322.788369813139,1,False,False,True,False,0,0.19,19.0
98161,0.9999999,71,0,0.469458988,9167.0,4,0,2,0,0.0,6238.350355375825,0,False,False,False,True,0,0.03,3.0
118818,0.16341229,43,0,0.537355671,8833.0,11,0,3,0,2.0,5745.580002482067,0,False,True,False,False,0,0.03,3.0
